club_interior
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,06,16,16,06,06,06,06,06,06,06,16,16,06,15
15,12,16,16,12,12,12,12,12,12,12,16,16,12,15
15,18,16,16,18,18,18,18,18,18,18,16,16,18,15
15,24,16,16,24,16,16,16,16,16,24,16,16,07,15
15,07,16,16,07,16,16,16,16,16,07,16,16,07,15
15,07,07,07,07,16,16,16,16,16,07,07,07,07,15
15,07,07,07,07,07,07,07,07,07,07,07,07,07,15
15,07,07,07,07,07,07,07,07,07,07,07,07,07,15
15,07,07,08,14,19,20,21,22,23,14,08,07,07,15
15,07,07,08,07,01,02,03,04,05,07,08,07,07,15
15,07,07,08,07,01,02,03,04,05,07,08,07,07,15
15,07,07,08,07,01,02,03,04,05,07,08,07,07,15
15,07,07,14,14,14,14,14,14,14,14,14,07,07,15
15,07,07,07,07,07,07,07,07,07,07,07,07,07,15
15,07,07,07,07,07,07,07,07,07,07,07,07,07,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
