club_interior_new_floor
00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,00
00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,00
00,06,13,13,06,06,06,06,06,06,06,13,13,06,06,06,06,06,00
00,12,13,13,12,12,12,12,12,12,12,13,13,12,12,12,12,12,00
00,18,13,13,18,17,17,17,17,17,18,13,13,18,18,18,18,18,00
00,30,13,13,30,17,17,17,17,17,30,13,13,30,00,30,30,00,00
00,07,25,26,27,16,16,16,16,16,30,26,27,25,00,25,30,00,00
00,29,30,28,30,26,07,30,29,07,28,29,07,29,00,29,07,00,00
00,27,07,29,27,29,28,07,26,29,30,26,25,07,30,26,29,00,00
00,29,26,09,14,19,20,21,22,23,14,08,30,29,07,27,25,00,00
00,30,25,08,07,01,02,03,04,05,29,11,27,28,15,15,15,00,00
00,26,28,11,25,01,02,03,04,05,25,10,25,29,00,00,00,00,00
00,29,07,08,27,26,07,29,26,27,26,09,27,07,00,00,00,00,00
00,27,25,14,14,14,14,14,14,14,14,14,29,26,00,00,00,00,00
00,30,07,28,30,29,07,26,29,26,25,07,30,29,00,00,00,00,00
00,29,28,25,26,28,27,07,25,30,27,28,26,07,00,00,00,00,00
00,15,15,15,15,15,30,29,15,15,15,15,15,15,00,00,00,00,00
00,00,00,00,00,00,26,07,00,00,00,00,00,00,00,00,00,00,00
