deep_web
00,00,00,00,00,00,00,00,00,00,00,00
00,00,01,02,03,11,12,13,21,22,23,00
00,00,06,07,08,16,17,18,26,27,28,00
00,04,04,04,04,04,04,04,04,04,04,04
00,04,20,14,14,14,14,14,14,14,14,14
00,04,10,09,19,15,15,15,15,15,15,15
00,04,10,09,05,04,04,04,04,04,04,04
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
00,04,10,09,05,04,00,00,00,00,00,00
