club_interior_new_floor
00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,00
00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,00
00,06,13,13,06,06,06,06,06,06,06,13,13,06,06,06,06,06,00
00,12,13,13,12,12,12,12,12,12,12,13,13,12,12,12,12,12,00
00,18,13,13,18,17,17,17,17,17,18,13,13,18,18,18,18,18,00
00,29,13,13,29,17,17,17,17,17,29,13,13,29,00,29,29,00,00
00,30,07,25,26,16,16,16,16,16,29,25,26,07,00,07,29,00,00
00,28,29,27,29,25,30,29,28,30,27,28,30,28,00,28,30,00,00
00,26,30,28,26,28,27,30,25,28,29,25,07,30,29,25,28,00,00
00,28,25,09,14,19,20,21,22,23,14,08,29,28,30,26,07,00,00
00,29,07,08,30,01,02,03,04,05,28,11,26,27,15,15,15,00,00
00,25,27,11,07,01,02,03,04,05,07,10,07,28,00,00,00,00,00
00,28,30,08,26,25,30,28,25,26,25,09,26,30,00,00,00,00,00
00,26,07,14,14,14,14,14,14,14,14,14,28,25,00,00,00,00,00
00,29,30,27,29,28,30,25,28,25,07,30,29,28,00,00,00,00,00
00,28,27,07,25,27,26,30,07,29,26,27,25,30,00,00,00,00,00
00,15,15,15,15,15,29,28,15,15,15,15,15,15,00,00,00,00,00
00,00,00,00,00,00,25,30,00,00,00,00,00,00,00,00,00,00,00
