data_bank
00,19,19,19,19,19,19,19,19,19,19,19,19,19,19,00
00,19,19,00,00,00,00,00,19,19,19,19,19,19,19,00
00,19,19,00,00,00,00,00,19,19,19,19,19,19,19,00
00,19,19,00,00,00,00,00,19,19,19,19,19,19,19,00
00,19,19,00,00,00,00,00,19,19,19,19,19,19,19,00
00,19,19,00,00,00,00,00,19,19,19,19,19,19,19,00
00,13,14,15,16,13,16,13,14,16,13,14,15,16,13,00
00,02,03,04,01,02,01,02,03,04,01,02,03,04,01,00
00,06,07,08,05,06,05,06,07,08,05,06,07,08,05,00
00,21,17,21,21,21,21,21,21,12,09,21,21,17,21,00
00,14,17,16,13,14,13,14,15,16,13,14,15,17,13,00
00,03,17,01,02,03,02,03,04,01,02,03,04,17,01,00
13,15,17,13,14,15,14,15,16,13,14,15,16,17,13,15
01,03,17,01,02,03,02,03,04,01,02,03,04,17,01,03
00,07,17,05,06,07,06,07,08,05,06,07,08,17,05,00
00,21,21,09,10,11,10,11,12,09,10,11,12,17,09,00
00,15,16,13,14,15,14,15,16,13,14,15,16,21,21,00
00,02,03,04,01,02,01,02,03,04,01,02,03,04,01,00
00,00,00,00,00,00,00,06,07,00,00,00,00,00,00,00
